proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INGENIERêA DE SISTEMAS APLICADA  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0137/2008","	NO FORMALIZî EL CONTRATO QUE LE FUE ADJUDICADO A TRAVƒS DEL PROCEDIMIENTO POR LICITACIîN PòBLICA INTERNACIONAL FUERA DE LA COBERTURA DE LOS TRATADOS.","	ESTUDIOS  PROYECTOS  PLANEACIîN  ADMINISTRACIîN Y MANTENIMIENTO Y DISE„O DE TODO TIPO DE OBRA DE INGENIERêA  COMUNICACIONES  MECçNICA  ELƒCTRICA  ELECTROMECçNICA  TELECOMUNICACIONES  COMPUTACIîN  TOPOGRAFêA  GEOLOGêA  GEODESTA  MINERêA  QUêMICA Y ECOLOGêA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	26/01/2009","	23/01/2009","	3 MESES","	81514.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA EN CONSTRUCCIîN GABRIO  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0006/2017","	PRESENTACIîN DE INFORMACIîN FALSA EN LA PRESENTACIîN DE SUS PROPUESTAS POR ENCONTRARSE VINCULADA CON OTRAS EMPRESAS","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/08/2017","	10/08/2017","	1 A„O","	438240.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA EN MANTENIMIENTO AUTOMOTRêZ Y SERVICIOS DERIVADOS DE LA INDUSTRIA AUTOMOVILêSTICA FIMAS,"	CFE DISTRIBUCIîN","	0001/2017","	EL LICITANTE ADJUDICADO PRESENTî INFORMACIîN FALSA EN EL PROCEDIMIENTO DE CONTRATACIîN  AL MOMENTO DE FORMALIZAR EL CONTRATO.","	EL DISE„O FABRICACIîN  ARMADO  REPARACIîN  SERVICIO  MANTENIMIENTO  ARRASTRE  HOJALATEADO  PINTURA  BLIDAJE  AJUSTE  ALINEACIîN  BALANCE  COMPRA  VENTA  ARRENDAMIENTO  DISTRIBUCIîN  COMERCIALIZACIîN  IMPORTACIîN Y EXPOTACIîN LêCITAS DE TODO TIPO DE VEHêCULOS  CAMIONETAS  CAMIONES  AUTOBUSES Y/O TRACTOCAMIONES  A GASOLINA O DISEL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/10/2017","	24/10/2017","	1 A„O","	448224.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA EN TRANSMISIîN  Y DISTRIBUCIîN  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0021/2010","	LA EMPRESA NO FORMALIZî EL CONTRATO DENTRO DE LOS QUINCE DêAS NATURALES SIGUIENTES AL DE LA NOTIFICACIîN DEL FALLO.","	COMPRA  VENTA  FABRICACIîN  DISTRIBUCIîN  IMPORTACIîN Y EXPORTACIîN DE TODO TIPO DE MERCANCIAS RELACIONADAS CON LA INDUSTRIA ELECTRICA.","	SANCIONATORIA CON MULTA","	02/08/2010","	02/08/2010","	","	86190.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERIA EXACTA  S.A. DE C.V.,"	COMISION NACIONAL DEL AGUA","	0008/2012","	PROPORCIONî INFORMACIîN FALSA  AL INDICAR BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN NINGUNO DE LOS SUPUESTOS CONTENIDOS EN LOS ARTêCULOS 51 Y 78 DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS  EN VIRTUD DE QUE EL C. MARCO ANTONIO RODRêGUEZ AGUAYO  FORMî PARTE COMO SOCIO DE LA PERSONA MORAL EN COMENTO  DURANTE LOS DOS A„OS PREVIOS A LA FECHA DE CELEBRACIîN DEL PROCEDIMIENTOS DE CONTRATACIîN DE MƒRITO  AUNADO AL HECHO DE QUE ES PARIENTE POR AFINIDAD EN SEGUNDO GRADO DEL ENTONCES DIRECTOR GENERAL DEL ORGANISMO DE CUENCA LERMA SANTIAGO PACêFICO DE LA COMISIîN NACIONAL DEL AGUA  QUIEN INTERVINO EN LOS MULTICITADOS PROCEDIMIENTO DE LICITACIîN  ACTUALIZçNDOSE LAS HIPîTESIS NORMATIVAS PREVISTAS LOS REFERIDOS ORDENAMIENTOS.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/11/2013","	20/11/2013","	3 MESES","	92721.00","	LIC. MIGUEL ANGEL LARA GARCIA","	06/12/2018 08:12",
INGENIERIA FERROVIARIA MANVICO  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0077/2010","	48 FRACCIîN II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>OMITIî ENTREGAR LA GARANTêA DE CUMPLIMIENTO DEL PEDIDO NòMERO GARMOP-CHM-N-61-2010  DERIVADO DE LA LICITACIîN PòBLICA NACIONAL 09189002-018-10  RELATIVA A LA ADQUISICIîN Y SUMINISTRO DE DISPOSITIVOS DE SUJECIîN Y APOYO PARA VêA  CONVOCADA POR FERROCARRIL DEL ISTMO DE TEHUANTEPEC  S.A. DE C.V.","	ADQUISICIîN Y SUMINISTRO DE DISPOSITIVOS DE SUJECIîN Y APOYO PARA VêA.","	SANCIONATORIA CON MULTA","	06/04/2011","	18/03/2011","	","	86190.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INGENIERêA GEOLîGICA COMPUTARIZADA  S.A. DE C.V.,"	AEROPUERTOS Y SERVICIOS AUXILIARES","	0042/2005","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	09/04/2007","	22/03/2007","	3 MESES","	67657.50","	MIGUEL ANGEL MACEDO VELAZQUEZ","	06/12/2018 08:12",
INGENIERêA GLOBAL Y MANTENIMIENTO  S.A. DE C.V.,"	PETROLEOS MEXICANOS CORPORATIVO","	0059/2008","	NO FORMALIZO EL CONTRATO","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/04/2009","	20/03/2009","	1 A„O 3 MESES","	407572.50","	","	06/12/2018 08:12",
INGENIERêA HIDRçULICA AMBIENTAL  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0077/2013","	ARTêCULO 78  FRACCIîN I DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS.   <br>NO FORMALIZî EL CONTRATO NòMERO CEA-AL-ZU-LP-029/2013  EL CUAL LE HABêA SIDO ADJUDICADO DERIVADO DE LA LICITACIîN PòBLICA LO-914029999-N24-2013; DE FORMA INJUSTIFICADA Y POR CAUSAS IMPUTABLES A LA CONTRATISTA PUES PRESENTî UN ESCRITO EN EL CUAL ARGUMENTî UN SUPUESTO INCREMENTO EN LOS COSTOS PROPUESTOS  LOS CUALES NO ACREDITî.","	CONSTRUCCIîN DE TODA CLASE DE OBRAS  COMO DE URBANIZACIîN  HIDRçULICAS  ELƒCTRICAS  MECçNICAS  TRATAMIENTO DE AGUAS Y EN GENERAL CUALQUIER TIPO DE CONSTRUCCIîN; ASê COMO LA COMPRA Y VENTA DE TODA CLASE DE ACCESORIOS Y MATERIALES PARA DICHO OBJETO Y LA ELABORACIîN DE ESTUDIOS Y PROYECTOS PARA EL MISMO FIN.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/06/2015","	09/06/2015","	1 A„O","	373980.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INGENIERêA PERFORACIîN Y ESTUDIOS  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0018/2011","	LA EMPRESA PROPORCIONîINFORMACIîN FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/01/2014","	17/01/2014","	1 A„O","	328800.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA PROCESOS Y COMERCIALIZACIîN  S.A. DE C.V.,"	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL","	0009/2011","	LA EMPRESA  OMITIî DAR CUMPLIMIENTO A LO PREVISTO EN LOS ARTêCULOS 46 DE LA LAASSP Y 84 DE SU REGLAMENTO; ELLO POR NO PRESENTARSE A FORMALIZAR EL PEDIDO NO. 006 CON A„O DE SECUENCIA 2011  MISMO QUE LE FUE ADJUDICADO DERIVADO DE LA ADJUDICACIîN DIRECTA RELATIVA A LA CONTRATACIîN DEL SERVICIO DE BALIZADO DE VEHêCULOS NO OPERATIVOS DEL COMPLEJO PENITENCIARIO ISLAS MARêAS PARA EL EJERCICIO FISCAL 2011; EN EL CUAL SU MANDANTE RESULTî ADJUDICADA CON EL IMPORTE DE $105 270.00","	SERVICIO DE BALIZADO DE VEHêCULOS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	09/09/2013","	30/08/2013","	3 MESES","	92721.00","	","	06/12/2018 08:12",
INGENIERIA Y CONSTRUCCIîN ROEL S.A. DE C.V.,"	CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS","	0001/2016","	EL TITULAR DEL çREA DE QUEJAS INFORMA QUE DERIVADO DE LA CONCLUSIîN AL EXPEDIENTE E INVESTIGACIîN RADICADO EN ESA çREA  DE LA INFORMACIîN RECOPILADA SE ADVIERTEN HECHOS PRESUMIBLEMENTE CONSTITUTIVOS DE INFRACCIîN EN VIRTUD DE QUE LA EMPRESA INGENIERêA Y CONSTRUCCIîN ROEL  S.A. DE C.V. PUDIERA UBICARSE EN EL SUPUESTO PREVISTO EN LA FRACCIîN IV DEL ARTêCULO 78  TODA VEZ QUE DESIGNî COMO SUPERINTENDENTE DE OBRA A LA ING. MARêA ESTELA ROSIQUE VALENZUELA  QUIEN A LA FECHA DE LA APERTURA  FUNGêA COMO SERVIDORA PòBLICA ACTIVA EN EL INSTITUTO TABASQUE„O DE LA INFRAESTRUCTURA FêSICA EDUCATIVA DEL ESTADO DE TABASCO  OCUPANDO EL PUESTO DE DIRECTORA GENERAL.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/06/2017","	14/06/2017","	3 MESES","	98140.00","	PEDRO OLMOS  ORTA","	06/12/2018 08:12",
INGENIERêA Y DESARROLLO DE SISTEMAS ALOR  S.A. DE C.V.,"	III SERVICIOS  S. A. DE C. V.","	0001/2015","	60 FRACCIîN IV  LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO <br>PROPORCIONAR INFORMACIîN FALSA EN LA LICITACIîN PòBLICA LA-018TXS001-N73-2014","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	26/02/2016","	19/02/2016","	1 A„O 3 MESES","	504675.00","	EDUARDO  DE LA LUZ  GARCêA","	06/12/2018 08:12",
INGENIERIA Y PROYECTOS DEL SURESTE  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0292/2004","	PROPORCIONO INFORMACION FALSA","	LA COMPRA  VENTA  ARRENDAMIENTO  SUBARRENDAMIENTO  ADMINISTRACION  URBANIZACION  FRACCIONAMIENTO Y CONSTRUCCION POR CUENTA PROPIA O TERCEROS DE BIENES INMUEBLES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/08/2005","	10/08/2005","	3 MESES","	63225.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA Y SERVICIOS CORHER  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0038/2014","	ART. 78 FRACCIîN I  DE LA LOPSRM. NO FORMALIZACIîN DE CONTRATO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	18/04/2017","	06/04/2017","	6 MESES","	201870.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INGENIERIA Y SERVICIOS ELECTRICOS ZAMORA  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0010/2014","	NO FORMALIZACION DEL CONTRATO 9400076959 POR PARTE DE LA EMPRESA INGENIERIA Y SERVICOS ELECTRICOS ZAMORA  S.A. DE C.V.  QUE LE FUE ADJUDICADO MEDIANTE LICITACIîN PòBLICA NACIONAL NòMERO LO-018TOQ108-N41-2013  RELATIVO A LA OBRA DGO-CONSTRUCCIîN R.D. GRANJA SOLAR LOCALIDADES CURACHITOS Y TEPALCATES MUNICIPIO EL MEZQUITAL","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/02/2015","	16/02/2015","	3 MESES","	97140.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INGENIERêA Y SERVICIOS INCORPORADOS  S.A. DE C.V.,"	PETROLEOS MEXICANOS CORPORATIVO","	0005/2010","	SOCIOS EN COMUN Y ENTREGA DE BIENES CON ESPECIFICACIONES DISTINTAS DE LAS CONVENIDAS","	ACTUAR COMO COMISIONISTA  REPRESENTANTE  DISTRIBUIDOR  ALMACENISTA Y PROVEEDOR DE SERVICIOS Y PRODUCTOS VARIOS TANTO A EMPRESAS DEL SECTOR GOBIERNO COMO DE LA INDUSTRIA PRIVADA Y PARTICULARES.   <br>COMPRA VENTA DE EQUIPOS Y REFACCIONES PARA REFRIGERACION Y AIREA ACONDICIONADO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/03/2011","	03/03/2011","	2 A„OS 6 MESES","	365025.00","	","	06/12/2018 08:12",
INGENIERIA Y SERVICIOS INCORPORADOS  S.A. DE C.V.,"	PETROLEOS MEXICANOS CORPORATIVO","	0007/2010","	SOCIOS EN COMUN","	ACTUAR COMO COMISIONISTA  REPRESENTANTE  DISTRIBUIDOR  ALMACENISTA Y PROVEEDOR DE SERVICIOS Y PRODUCTOS VARIOS TANTO A EMPRESAS DEL SECTOR GOBIERNO COMO DE LA INDUSTRIA PRIVADA Y PARTICULARES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/03/2011","	03/03/2011","	1 A„O 3 MESES","	365025.00","	","	06/12/2018 08:12",
INGENIERIA Y SOLUCIONES AVANZADAS  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0324/2007","	HABER PRESENTADO EN SU PROPUESTA TECNICA PRESENTO CERTIFICADOS DE COMPETENCIA LABORAL DEL CNYC CONOCERT PRESUNTAMENTE APOCRIFOS","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	02/12/2010","	12/11/2010","	1 A„O 3 MESES","	379275.00","	","	06/12/2018 08:12",
INICIATIVA CIUDADANA Y DESARROLLO SOCIAL INCIDE SOCIAL  A.C.,"	SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA","	0003/2013","	NO FORMALIZO EL CONTRATO COMO SE ESTABLECIO EN EL ARTICULO 46 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PUBLICO","	PROMOVER LA CONSOLIDACION DE LA DEMOCRACIA Y LA PLENA REALIZACION DE LOS DERECHOS HUMANOS COMO PRESTADOR DE CURSOS DE DESARROLLO SOCIAL","	SANCIONATORIA CON MULTA","	28/11/2013","	22/11/2013","	","	92721.00","	LUIS ENRIQUE SARABIA GALLARDO","	06/12/2018 08:12",
INMOBILIARIA LIVING SOL  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0042/2014","	LA NO FORMALIZACIîN DEL CONTRATO","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/10/2015","	30/09/2015","	3 MESES","	104299.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INMOBILIARIA WISNER  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0050/2013","	78  FRACCIîN IV  DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS. <br>PROPORCIONî INFORMACIîN FALSA Y ACTUî CON DOLO EN LA CELEBRACIîN Y VIGENCIA DE LOS CONTRATOS DE OBRA PòBLICA A BASE DE PRECIOS UNITARIOS SOS-9-07C001-2-054  SOS-9-07C001-2-061 Y SOS-9-07C001-2-063  SUSCRITOS CON EL GOBIERNO DEL DISTRITO FEDERAL  PARA EL MEJORAMIENTO FêSICO DEL PARQUE Y CAMPO DE FUTBOL  COLONIA MIGUEL HIDALGO  DELEGACIîN TLçHUAC  AL MANIFESTAR  BAJO PROTESTA DE DECIR VERDAD  CONTAR CON LA CAPACIDAD TƒCNICA PARA CUMPLIR EN TIEMPO LAS OBLIGACIONES CONTRACTUALES  MISMAS QUE NO CUMPLIî.","	COMPRAVENTA DE INMUEBLES  ADMINISTRACIîN  CONSTRUCCIîN Y EJECUCIîN DE TODA CLASE DE OBRAS DE INGENIERIA  LA PROYECCIîN  DIRECCIîN  CONSTRUCCIîN Y FINANCIAMIENTO DE TODA CLASE DE ARQUITECTURA YA SEAN PROPIAS O AJENAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	31/12/2014","	19/12/2014","	2 A„OS","	679520.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INMOBILIARIA Y ARRENDADORA  G.L.D S.A. DE C.V.,"	COMISION NACIONAL DE LIBROS DE TEXTO GRATUITO","	0001/2016","	POR OFICIO NòMERO DRMSG/119/2016 DE FECHA SIETE DE ENERO DEL A„O EN CURSO  RECIBIDO EL DêA OCHO DEL MISMO MES Y A„O POR EL îRGANO INTERNO DE CONTROL DE LA COMISIîN NACIONAL DE LIBROS DE TEXTO GRATUITOS  MEDIANTE EL CUAL EL DIRECTOR DE RECURSOS MATERIALES Y SERVICIOS GENERALES DE LA ENTIDAD HACE DEL CONOCIMIENTO AL TITULAR DE ESTE îRGANO FISCALIZADOR  QUE LA EMPRESA INMOBILIARIA Y ARRENDADORA G.L.D.  S.A DE C.V.  A QUIEN COMO RESULTADO DE LA LICITACIîN PòBLICA NACIONAL LA-011L6J001-N203-2015 SE LE ASIGNî EL CONTRATO 5200001293  PARA LA ADQUISICIîN DE LA ORDEN P3PUE  ÒPUEBLA LA ENTIDAD DONDE VIVOÓ. NO FORMALIZî EL INSTRUMENTO LEGAL QUE SE DERIVî DEL EVENTO MENCIONADO; ASê COMO TAMPOCO REALIZî LA ENTREGA DE LOS BIENES REQUERIDOS.","	CONTRATAR ACTIVA Y PASIVAMENTE TODA CLASE DE PRESTACIîN DE SERVICIOS","	SANCIONATORIA CON MULTA","	02/03/2016","	26/02/2016","	","	105150.00","	ARTURO   TORRES  SANCHEZ","	06/12/2018 08:12",
INMOBILIARIA Y CONSTRUCTORA INTERAMERICANA S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0083/2013","	ARTêCULO 78  FRACCIîN III  DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS.- AL HABER INCUMPLIDO LA EMPRESA INMOBILIARIA Y CONSTRUCTORA INTERAMERICANA  S.A. DE C.V. CON LAS OBLIGACIONES DERIVADAS DEL CONTRATO CAEM-DGIG-OR-351-10-CS DE 30 DE DICIEMBRE DE 2010  POR CAUSAS IMPUTABLES A DICHA PERSONA MORAL  Y COMO CONSECUENCIA HABER CAUSADO UN DA„O GRAVE A LA COMISIîN DEL AGUA DEL ESTADO DE MƒXICO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/08/2016","	01/08/2016","	6 MESES","	179460.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INNOVACIîN DE ALTA TECNOLOGêA DIDçCTICA  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0027/2015","	INFRACCIîN AL ARTêCULO 46  PRIMER PçRRAFO  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO  AL HABER INCUMPLIDO SU OBLIGACIîN DE FIRMAR EL CONTRATO NòMERO ICATEP-980/2014  EN EL TƒRMINO SE„ALADO EN EL FALLO  ES DECIR  DENTRO DE LOS QUINCE DêAS NATURALES POSTERIORES A LA COMUNICACIîN DE DICHO ACTO; CONTRATO QUE LE FUE ADJUDICADO MEDIANTE FALLO DE DIECINUEVE DE DICIEMBRE DE DOS MIL CATORCE  PARA LAS PARTIDAS NòMERO CUATRO  CINCO  SIETE  OCHO Y ONCE  DERIVADO DE SU PARTICIPACIîN EN LA LICITACIîN PòBLICA INTERNACIONAL BAJO LA COBERTURA DE TRATADOS DE TIPO PRESENCIAL GESFALF-042/2014  COMPRANET LA-921002997-T214-2014  PARA LA ÒADQUISICIîN DE MATERIALES Y òTILES DE ENSE„ANZA PARA EL INSTITUTO DE CAPACITACIîN PARA EL TRABAJO DEL ESTADO DE PUEBLAÓ  CONVOCADA POR EL GOBIERNO DEL ESTADO DE PUEBLA  POR CONDUCTO DE LA SECRETARêA DE FINANZAS Y ADMINISTRACIîN.","	FABRICACION  COMPRA  VENTA DE EQUIPO ELECTRONICO DIDACTICO.","	SANCIONATORIA CON MULTA","	07/06/2018","	05/06/2018","	","	434620.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INNOVACIONES TECNICAS EN CIMENTACIîN  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0024/2015","	OMISIîN EN LA PRESENTACIîN DE PîLIZA DE FIANZA ADICIONAL EN EL PLAZO PREVISTO PARA ELLO EN EL CONTRATO  DE IGUAL FORMA  OMISIîN EN EL REINTEGRO DEL ANTICIPO NO AMORTIZADO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/06/2018","	28/06/2018","	3 A„OS","	1211220.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INOCENCIO BARRAGAN ADAME,"	SECRETARIA DE DESARROLLO SOCIAL","	0008/2014","	INCUMPLIMIENTO DE OBLIGACIONES CONTRACTUALES AL NO CONCLUIR EN LA VIGENCIA DEL CONTRATO Y PRESENTAR ESTIMACIONES SIN LA DOCUMENTACIîN PROCEDENTE PARA SU PAGO Y COBRO.","	CONSTRUCCION DE OBRAS DE URBANIZACION","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/06/2015","	08/06/2015","	5 MESES","	295444.20","	","	06/12/2018 08:12",
INSTALACIîNES ELƒCTRICAS ARCE S.A. DE C.V,"	FINANCIERA NACIONAL DE DESARROLLO AGROPECUARIO  RURAL  FORESTAL Y PESQUERO","	0024/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	REALIZACION DE TODA CLASE DE CONSTRUCIIONES E INSTALACIîNES ELECTRICAS  MECANICAS  HIDRçULICAS Y SANITARIAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/03/2007","	23/03/2007","	3 MESES","	72540.00","	NORMA  ROJAS DELGADILLO","	06/12/2018 08:12",
INSTITUCIONALES EDEN  S. DE R.L. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0013/2016","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA  NO DIO CUMPLIMIENTO A LAS OBLIGACIONES CONTRACTUALES QUE ASUMIî EN EL CONTRATO NO. U150163","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/03/2018","	23/03/2018","	6 MESES","	217310.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INSTITUTO DE LA POLêCIA AUXILIAR Y PROTECCIîN PATRIMONIAL PARA EL ESTADO DE VERACRUZ DE IGNACIO DE L,"	CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL","	0001/2017","	EL LICITANTE INSTITUTO DE LA POLICêA AUXILIAR Y PROTECCIîN PATRIMONIAL PARA EL ESTADO DE VERACRUZ  IGNACIO DE LA LLAVE  SE NEGî A FORMALIZAR EL CONTRATO DERIVADO DE LA LICITACIîN PòBLICA NòMERO LA-03890W999-E60-2017. EN LA CONTRATACIîN DEL SERVICIO DE VIGILANCIA EN LA SEDE CIESAS-GOLFO","	SERVICIO DE VIGILANCIA","	SANCIONATORIA CON MULTA","	21/06/2018","	15/06/2018","	","	114745.00","	GRETA BARRON GARCES","	06/12/2018 08:12",
INSTITUTO MƒDICO QUIRòRGICO DE CANCòN  S.C.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0452/2008","	LA EMPRESA SE CONDUJO CON FALSEDAD AL MANIFESTAR  BAJO PROTESTA DE DECIR VERDAD NO ENCONTRARSE EN LOS SUPUESTOS  DEL ARTICULO 50 DE LA LAASSP. CONTRATO NO. D65099","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	04/03/2011","	01/03/2011","	2 A„OS 1 MES","	648771.10","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INSTRUMENTACION E INOXIDABLES  S.A. DE C.V.,"	PEMEX REFINACION","	0098/2008","	PRESENTO DOCUMENTACION FALSA  DOCUMENTO NO RECONOCIDO POR LA EMPRESA QUE PRESUNTAMENTE LO EXPIDIO(POLIZA DE FIANZA)","	COMERCIO AL POR MAYOR DE OTRA MAQUINARIA Y EQUIPO DE USO INDUSTRIAL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/06/2011","	08/06/2011","	6 MESES","	189324.00","	JAVIER RAMIREZ GARCIA","	06/12/2018 08:12",
INSTRUMENTOS Y ACCESORIOS AUTOMATIZADOS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0056/2016","	LA EMPRESA FUE SUJETA DE UNA RESCISIîN EN DOS DEPENDENCIAS EN UN PLAZO DE TRES A„OS. <br>ART. 60  FRACC. II DE LA LAASSP","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/04/2018","	20/04/2018","	1 A„O","	420600.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INSUMOS Y SUMINISTROS  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0007/2015","	LA EMPRESAS POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. U140347","	DISTRIBUCIîN DE PRODUCTOS HOSPITALARIOS","	SANCIONATORIA CON MULTA","	04/11/2016","	31/10/2016","	","	100935.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INTE DEL GOLFO  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0007/2010","	PRESENTAR DOCUMENTACIîN APîCRIFA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/09/2011","	20/09/2011","	2 A„OS 6 MESES","	730050.00","	","	06/12/2018 08:12",
